timestamp,commit,branch,benchmark,estimate_ns
2026-03-23T08:26:15Z,38d5f28,main,world/spawn_entity,4.9469
2026-03-23T08:26:15Z,38d5f28,main,world/spawn_despawn,5.2884
2026-03-23T08:26:15Z,38d5f28,main,world/insert_component,50.156
2026-03-23T08:26:15Z,38d5f28,main,world/get_component,33.321
2026-03-23T08:26:15Z,38d5f28,main,world/spawn_100_entities,11302.0000
2026-03-23T08:26:15Z,38d5f28,main,scene/load_10_entities,23396.0000
2026-03-23T08:26:15Z,38d5f28,main,scene/load_100_entities,229360.0000
2026-03-23T08:26:15Z,38d5f28,main,scene/spawn_10_entities,1940.7000
2026-03-23T08:26:15Z,38d5f28,main,scene/spawn_100_entities,22353.0000
2026-03-23T08:26:15Z,38d5f28,main,input/process_key_event,56.079
2026-03-23T08:26:15Z,38d5f28,main,input/query_key_state,27.378
2026-03-23T08:26:15Z,38d5f28,main,input/clear_frame,1.9462
2026-03-23T08:26:15Z,38d5f28,main,render/camera_view_projection,30.002
2026-03-23T08:26:15Z,38d5f28,main,render/null_renderer_frame,10.301
2026-03-23T08:26:15Z,38d5f28,main,clock/tick,0.7696
2026-03-23T08:26:15Z,38d5f28,main,clock/consume_fixed,1.7513
2026-03-23T08:26:15Z,38d5f28,main,events/publish_100,4171.1000
2026-03-23T08:26:15Z,38d5f28,main,events/publish_drain_100,4392.8000
2026-03-23T08:36:13Z,38d5f28,main,world/spawn_entity,4.8602
2026-03-23T08:36:13Z,38d5f28,main,world/spawn_despawn,5.8639
2026-03-23T08:36:13Z,38d5f28,main,world/insert_component,74.482
2026-03-23T08:36:13Z,38d5f28,main,world/get_component,49.996
2026-03-23T08:36:13Z,38d5f28,main,world/has_component,43.074
2026-03-23T08:36:13Z,38d5f28,main,world/remove_component,92.341
2026-03-23T08:36:13Z,38d5f28,main,world/entity_count,0.2903
2026-03-23T08:36:13Z,38d5f28,main,world/spawn_100_entities,10479.0000
2026-03-23T08:36:13Z,38d5f28,main,world/despawn_with_components,11552.0000
2026-03-23T08:36:13Z,38d5f28,main,world/iterate_components,38921.0000
2026-03-23T08:36:13Z,38d5f28,main,scene/load_10_entities,25037.0000
2026-03-23T08:36:13Z,38d5f28,main,scene/load_100_entities,246650.0000
2026-03-23T08:36:13Z,38d5f28,main,scene/spawn_10_entities,1959.8000
2026-03-23T08:36:13Z,38d5f28,main,scene/spawn_100_entities,23539.0000
2026-03-23T08:36:13Z,38d5f28,main,scene/scene_serialize,264080.0000
2026-03-23T08:36:13Z,38d5f28,main,input/process_key_event,61.779
2026-03-23T08:36:13Z,38d5f28,main,input/query_key_state,27.230
2026-03-23T08:36:13Z,38d5f28,main,input/clear_frame,3.1509
2026-03-23T08:36:13Z,38d5f28,main,input/process_10_keys,721.46
2026-03-23T08:36:13Z,38d5f28,main,input/mouse_button_edge,95.478
2026-03-23T08:36:13Z,38d5f28,main,render/camera_view_projection,29.568
2026-03-23T08:36:13Z,38d5f28,main,render/null_renderer_frame,10.640
2026-03-23T08:36:13Z,38d5f28,main,render/null_renderer_10_commands,75.716
2026-03-23T08:36:13Z,38d5f28,main,clock/tick,0.7836
2026-03-23T08:36:13Z,38d5f28,main,clock/consume_fixed,1.8188
2026-03-23T08:36:13Z,38d5f28,main,events/publish_100,4397.2000
2026-03-23T08:36:13Z,38d5f28,main,events/publish_drain_100,4176.0000
2026-03-23T08:36:13Z,38d5f28,main,events/multi_type_publish_drain,4570.7000
2026-03-23T08:36:13Z,38d5f28,main,game_loop/tick_10_entities,31.362
